date,weekday,is_weekend,orders,completed_orders,canceled_orders,active_users,restaurants,promotion
2026-01-01,4,0,95,88,7,420,22,0
2026-01-02,5,0,110,101,9,480,23,0
2026-01-03,6,1,150,132,18,620,24,1
2026-01-04,7,1,165,145,20,700,25,1
2026-01-05,1,0,90,83,7,410,22,0
2026-01-06,2,0,100,92,8,450,23,0
2026-01-07,3,0,105,97,8,460,23,0
2026-01-08,4,0,115,106,9,500,24,0
2026-01-09,5,0,130,118,12,550,24,0
2026-01-10,6,1,170,150,20,720,26,1
2026-01-11,7,1,180,158,22,750,26,1
2026-01-12,1,0,95,88,7,430,23,0
2026-01-13,2,0,105,97,8,470,24,0
2026-01-14,3,0,110,101,9,480,24,0
2026-01-15,4,0,120,110,10,520,25,0
2026-01-16,5,0,140,126,14,580,25,0
2026-01-17,6,1,185,162,23,780,27,1
2026-01-18,7,1,195,170,25,800,28,1
2026-01-19,1,0,100,92,8,440,23,0
2026-01-20,2,0,110,101,9,480,24,0
2026-01-21,3,0,115,106,9,500,24,0
2026-01-22,4,0,125,114,11,530,25,0
2026-01-23,5,0,145,130,15,600,26,0
2026-01-24,6,1,190,166,24,800,28,1
2026-01-25,7,1,200,175,25,820,29,1
2026-01-26,1,0,105,97,8,460,24,0
2026-01-27,2,0,115,106,9,500,25,0
2026-01-28,3,0,120,110,10,520,25,0
2026-01-29,4,0,130,118,12,550,26,0
2026-01-30,5,0,150,135,15,620,27,0
2026-01-31,6,1,200,175,25,830,29,1
2026-02-01,7,1,210,182,28,850,30,1
2026-02-02,1,0,110,101,9,480,25,0
2026-02-03,2,0,120,110,10,520,26,0
2026-02-04,3,0,125,114,11,540,26,0
2026-02-05,4,0,135,122,13,570,27,0
2026-02-06,5,0,155,139,16,630,28,0
2026-02-07,6,1,210,182,28,860,30,1
2026-02-08,7,1,220,190,30,880,31,1
2026-02-09,1,0,115,106,9,500,26,0
2026-02-10,2,0,125,114,11,540,27,0
2026-02-11,3,0,130,118,12,560,27,0
2026-02-12,4,0,140,126,14,590,28,0
2026-02-13,5,0,160,144,16,650,29,0
2026-02-14,6,1,220,190,30,880,31,1
2026-02-15,7,1,230,198,32,900,32,1
2026-02-16,1,0,120,110,10,520,27,0
2026-02-17,2,0,130,118,12,560,28,0
2026-02-18,3,0,135,122,13,580,28,0
2026-02-19,4,0,145,130,15,610,29,0
2026-02-20,5,0,165,148,17,670,30,0
2026-02-21,6,1,230,198,32,900,32,1
2026-02-22,7,1,240,205,35,920,33,1
2026-02-23,1,0,125,114,11,540,28,0
2026-02-24,2,0,135,122,13,580,29,0
2026-02-25,3,0,140,126,14,600,29,0
2026-02-26,4,0,150,135,15,630,30,0
2026-02-27,5,0,170,152,18,690,31,0
2026-02-28,6,1,240,205,35,920,33,1
